action_type|buid|view_source|action|value_1|value_2
1|36|549|micrositetag|[blank]|
1|36|550|micrositetag|[blank]|
1|36|616|micrositetag|[blank]|
1|36|1604|micrositetag|[blank]|
1|36|1611|micrositetag|[blank]|
1|36|1612|micrositetag|[blank]|
1|36|1613|micrositetag|[blank]|
1|42|0|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|2|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|7|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|10|micrositetag|[blank]|
1|42|11|micrositetag|[blank]|
1|42|78|micrositetag|[blank]|
1|42|86|micrositetag|[blank]|
1|42|88|micrositetag|[blank]|
1|42|89|micrositetag|[blank]|
1|42|90|micrositetag|[blank]|
1|42|91|micrositetag|[blank]|
1|42|92|micrositetag|[blank]|
1|42|93|micrositetag|[blank]|
1|42|94|micrositetag|[blank]|
1|42|99|micrositetag|[blank]|
1|42|107|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|201|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|209|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|218|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|265|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|274|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|307|micrositetag|[blank]|
1|42|500|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|503|micrositetag|[blank]|
1|42|504|micrositetag|[blank]|
1|42|505|micrositetag|[blank]|
1|42|506|micrositetag|[blank]|
1|42|507|micrositetag|[blank]|
1|42|508|micrositetag|[blank]|
1|42|509|micrositetag|[blank]|
1|42|510|micrositetag|[blank]|
1|42|511|micrositetag|[blank]|
1|42|512|micrositetag|[blank]|
1|42|539|micrositetag|[blank]|
1|42|540|micrositetag|[blank]|
1|42|541|micrositetag|[blank]|
1|42|542|micrositetag|[blank]|
1|42|543|micrositetag|[blank]|
1|42|544|micrositetag|[blank]|
1|42|545|micrositetag|[blank]|
1|42|546|micrositetag|[blank]|
1|42|547|micrositetag|[blank]|
1|42|548|micrositetag|[blank]|
1|42|549|micrositetag|[blank]|
1|42|550|micrositetag|[blank]|
1|42|603|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|605|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|610|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|612|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|613|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|614|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|615|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|616|micrositetag|[blank]|
1|42|619|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|620|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|624|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1505|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1510|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1522|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1524|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1547|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1569|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1570|microsite|http://jobs.sprint.com/[Unique_ID]/job/|
1|42|1604|micrositetag|[blank]|
1|42|1611|micrositetag|[blank]|
1|42|1612|micrositetag|[blank]|
1|42|1613|micrositetag|[blank]|
1|43|0|microsite|http://att-wireless.jobs/[Unique_ID]/job/|
1|43|10|micrositetag|[blank]|
1|43|11|micrositetag|[blank]|
1|43|78|micrositetag|[blank]|
1|43|86|micrositetag|[blank]|
1|43|88|micrositetag|[blank]|
1|43|89|micrositetag|[blank]|
1|43|90|micrositetag|[blank]|
1|43|91|micrositetag|[blank]|
1|43|92|micrositetag|[blank]|
1|43|93|micrositetag|[blank]|
1|43|94|micrositetag|[blank]|
1|43|99|micrositetag|[blank]|
1|43|307|micrositetag|[blank]|
1|43|503|micrositetag|[blank]|
1|43|504|micrositetag|[blank]|
1|43|505|micrositetag|[blank]|
1|43|506|micrositetag|[blank]|
1|43|507|micrositetag|[blank]|
1|43|508|micrositetag|[blank]|
1|43|509|micrositetag|[blank]|
1|43|510|micrositetag|[blank]|
1|43|511|micrositetag|[blank]|
1|43|512|micrositetag|[blank]|
